CO_PER_ROL,CUSIP,CONAME,EXEC_FNAME,EXEC_FULLNAME,EXEC_LNAME,YEAR,TWITTER,T_NAME,Search Date,company related,personal related,Note,
6155,46120310,INVACARE CORP,A.,"A. Malachi Mixon, III","Mixon, III",2010,X,X,2019/1/13,X,X,,
43040,75008610,RACKSPACE HOSTING INC,A.,A. Lanham Napier,Napier,2013,https://twitter.com/lnapier,lnapier,2019/1/13,6,14,,
13887,21664840,COOPER COMPANIES INC,A.,A. Thomas Bender,Bender,2007,X,X,2019/1/13,X,X,,
35067,85569C10,STARTEK INC,A.,A. Laurence Jones,Jones,2010,X,X,2019/1/13,X,X,,
15558,59490110,MICROS SYSTEMS INC,A.,A. L. Giannopoulos,Giannopoulos,2013,X,X,2019/1/13,X,X,,
31222,80874P10,SCIENTIFIC GAMES CORP,A.,A. Lorne Weil,Weil,2013,X,X,2019/1/13,X,X,,
29743,62885220,NCI BUILDING SYSTEMS INC,A.,"A. R. Ginn, Jr.","Ginn, Jr.",2006,X,X,2019/1/13,X,X,,
29000,70788V10,PENN VIRGINIA CORP,A.,A. James Dearlove,Dearlove,2010,X,X,2019/1/13,X,X,,
28929,67104A10,OSI RESTAURANT PARTNERS INC,A.,"A. William Allen, III","Allen, III",2009,X,X,2019/1/13,X,X,,
38821,6790110,BARRICK GOLD CORP,Aaron,"Aaron William Regent, C.A","Regent, C.A",2011,X,X,2019/1/13,X,X,,
35453,912830,AIR METHODS CORP,Aaron,"Aaron D. Todd, III","Todd, III",2016,X,X,2019/1/13,X,X,,
30821,50216110,LSI CORP,Abhijit,Abhijit Y. Talwalkar,Talwalkar,2013,X,X,2019/1/13,X,X,,
45435,88554D20,3D SYSTEMS CORP,Abraham,Abraham N. Reichental,Reichental,2015,https://twitter.com/AviReichental,AviReichental,2019/1/13,20,0,,
46398,38376A10,GOVERNMENT PPTYS INCOME TR,Adam,Adam David Portnoy,Portnoy,2010,X,X,2019/1/13,X,X,,
38633,44984A10,IPC HEALTHCARE INC,Adam,Adam D. Singer,Singer,2014,X,X,2019/1/13,X,X,,
37464,36174X10,GGP INC,Adam,Adam Spencer Metz,Metz,2010,X,X,2019/1/13,X,X,,
39639,12803020,CAL-MAINE FOODS INC,Adolphus,Adolphus B. Baker,Baker,2016,X,X,2019/1/13,X,X,,
35118,81731510,SEPRACOR INC,Adrian,Adrian Adams,Adams,2008,X,X,2019/1/13,X,X,,
39584,86732Y10,SUNEDISON INC,Ahmad,Ahmad R. Chatila,Chatila,2014,https://twitter.com/AhmadRChatila,AhmadRChatila,2019/1/13,17,3,,
53932,03965L10,ARCONIC INC,Alain,Alain Juan Pablo Belda,Belda,2007,X,X,2019/1/13,X,X,,
55043,67555N20,OCLARO INC,Alain,Alain A. Couder,Couder,2013,https://twitter.com/coudalain,coudalain,2019/1/13,1,0,,
68,1381750,ALCOA INC,Alain,Alain Juan Pablo Belda,Belda,2007,X,X,2019/1/13,X,X,,
31194,45715310,INGRAM MICRO INC,Alain,Alain Moni,Moni,2015,X,X,2019/1/13,X,X,,
34456,09063H10,BIOMED REALTY TRUST INC,Alan,Alan D. Gold,Gold,2014,X,X,2019/1/13,X,X,,
54355,N6748L10,ORTHOFIX INTERNATIONAL NV,Alan,Alan W. Milinazzo,Milinazzo,2011,X,X,2019/1/13,X,X,,
33626,31620R30,FIDELITY NATL FINL FNF GROUP,Alan,Alan L. Stinson,Stinson,2010,X,X,2019/1/13,X,X,,
27302,59562610,MIDAS INC,Alan,Alan D. Feldman,Feldman,2011,X,X,2019/1/13,X,X,,
35597,9367110,BLOCK H & R INC,Alan,Alan Munro Bennett,Bennett,2010,X,X,2019/1/13,X,X,,
15575,74271810,PROCTER & GAMBLE CO,Alan,Alan George Lafley,Lafley,2015,X,X,2019/1/13,X,X,,
36151,6590893,BBX CAPITAL CORP,Alan,Alan B. Levan,Levan,2015,X,X,2019/1/13,X,X,,
32416,34537086,FORD MOTOR CO,Alan,Alan R. Mulally,Mulally,2013,X,X,2019/1/13,X,X,,
45857,17243V10,CINEMARK HOLDINGS INC,Alan,Alan W. Stock,Stock,2011,X,X,2019/1/13,X,X,,
26086,80306210,SAPIENT CORP,Alan,Alan J. Herrick,Herrick,2013,X,X,2019/1/13,X,X,,
36273,45810H10,INTEGRAL SYSTEMS INC,Alan,Alan W. Baldwin,Baldwin,2008,X,X,2019/1/13,X,X,,
39922,46259420,IOWA TELECOM SERVICES INC,Alan,Alan L. Wells,Wells,2009,https://twitter.com/Alan_L_Wells,,2019/1/13,0,20,,
28363,57978020,MCCORMICK & CO INC,Alan,Alan D. Wilson,Wilson,2015,X,X,2019/1/13,X,X,,
