name,id_str,CO_PER_ROL,YEAR,EXEC_FULLNAME,followers_count,friends_count,lang,account_created,location,verified
AviReichental,'458517173,45435,2015,Abraham N. Reichental,2980,1403,en,2012/1/8 17:12,Global Citizen,FALSE
AhmadRChatila,'3145493639,39584,2014,Ahmad R. Chatila,1411,49,en,2015/4/7 21:03,,FALSE
AngelSB55,'218752472,31477,2015,Angel R. Martinez,64,50,en,2010/11/23 05:07,,FALSE
TonyAquila8020,'3317781383,38281,2015,Anthony Aquila,14442,161,et,2015/6/10 19:12,"Dallas, TX",TRUE
CABachelder,'804737400,50309,2016,Cheryl A. Bachelder,3458,601,en,2012/9/5 14:45,,FALSE
weccleshare,'77786086,45090,2016,Christopher William Eccleshare,624,298,en,2009/9/27 17:33,London,FALSE
CliffBleustein,'2422580502,52443,2016,"Clifford B. Bleustein, M.D., MBA",220,118,en,2014/4/1 19:34,"New York, NY",FALSE
ctbouchard,'2280778176,48893,2016,Craig T. Bouchard,263,26,und,2014/1/7 15:40,,FALSE
danninivaggi,'2846215479,51068,2015,Daniel A. Ninivaggi,2251,253,en,2014/10/27 04:18,,FALSE
DanielHamburger,'891051931950620673,26490,2016,Daniel M. Hamburger,29,1,en,2017/7/28 21:45,"Chicago, IL",FALSE
DarrenOlagues,'834795192712622080,38862,2016,Darren J. Olagues,8,69,en,2017/2/23 16:00,"Alexandria, LA",FALSE
Storchy1,'1606251558,5623,2016,David P. Storch,534,449,en,2013/7/19 16:21,"Chicago, IL",FALSE
Dave_Wentz,'43037549,29792,2015,David A. Wentz,9508,29,fi,2009/5/28 03:26,"iPhone: 40.762241,-111.942581",FALSE
DavidNovakOGO,'737989529827704832,14318,2014,David C. Novak,20457,1422,en,2016/6/1 12:49,"Louisville, KY",TRUE
DCCleanEnergy,'4793938642,39792,2015,David W. Crane,1485,54,en,2016/1/13 11:59,"New Jersey, USA",FALSE
hess_peter,'382320511,29368,2014,"David Peter F. Hess, Jr.",1108,517,en,2011/9/29 21:28,San Francisco,FALSE
deshickton,'1006190022,16722,2014,Dawne S. Hickton,60,47,en,2012/12/12 12:07,,FALSE
DonBrownIndy,'1235425207,39765,2015,Donald E. Brown,1542,22,en,2013/3/2 17:03,Indianapolis,FALSE
Gail_Goodman,'16367208,51505,2014,Gail F. Goodman,9254,3856,en,2008/9/19 18:25,"Boston, MA",FALSE
gary_burnison,'581341103,24137,2016,Gary D. Burnison,788,55,en,2012/5/15 23:32,"Los Angeles, CA",FALSE
GordonWTravel,'925699078779998208,56144,2016,Gordon A. Wilson,412,47,en,2017/11/1 12:20,"Langley, United Kingdom",FALSE
