CO_PER_ROL,YEAR,CUSIP,CONAME,EXEC_FNAME,EXEC_FULLNAME,EXEC_LNAME,EXEC_MNAME,CEOANN
38455,2006,00036020,AAON INC,Norman,Norman H. Asbjornson,Asbjornson,H.,CEO
38455,2007,00036020,AAON INC,Norman,Norman H. Asbjornson,Asbjornson,H.,CEO
38455,2008,00036020,AAON INC,Norman,Norman H. Asbjornson,Asbjornson,H.,CEO
38455,2009,00036020,AAON INC,Norman,Norman H. Asbjornson,Asbjornson,H.,CEO
38455,2010,00036020,AAON INC,Norman,Norman H. Asbjornson,Asbjornson,H.,CEO
38455,2012,00036020,AAON INC,Norman,Norman H. Asbjornson,Asbjornson,H.,CEO
38455,2013,00036020,AAON INC,Norman,Norman H. Asbjornson,Asbjornson,H.,CEO
38455,2014,00036020,AAON INC,Norman,Norman H. Asbjornson,Asbjornson,H.,CEO
38455,2015,00036020,AAON INC,Norman,Norman H. Asbjornson,Asbjornson,H.,CEO
38455,2016,00036020,AAON INC,Norman,Norman H. Asbjornson,Asbjornson,H.,CEO
38455,2017,00036020,AAON INC,Norman,Norman H. Asbjornson,Asbjornson,H.,CEO
38459,2011,00036020,AAON INC,Scott,Scott M. Asbjornson,Asbjornson,M.,CEO
5622,1994,00036110,AAR CORP,Ira,Ira A. Eichner,Eichner,A.,CEO
5622,1995,00036110,AAR CORP,Ira,Ira A. Eichner,Eichner,A.,CEO
5623,1996,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,1997,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,1998,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,1999,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2000,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2001,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2002,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2003,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2004,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
