CO_PER_ROL,YEAR,EXEC_FULLNAME,T_NAME
38455,2017,Norman H. Asbjornson,X
51946,2017,Scott B. Salmirs,X
2653,2017,Daniel Paul Amos,X
28867,2017,Martin H. Richenhagen,X
37514,2017,"James M. Moroney, III",jmoroney_jim
32523,2017,Andrs Ricardo Gluski Weilert,X
47291,2017,Roger K. Newport,X
52103,2017,William K. Heiden,wkheiden
46079,2017,Joshua W. Sapan,X
31795,2017,Susan R. Salka,susansalka
50205,2017,Arthur S. Przybyl,X
27741,2017,Peter T. Dameris,X
28491,2017,Randall L. Stephenson,X
42959,2017,Michael T.C. Prior,X
53405,2017,John Sarvis,X
18013,2017,Morris S. Young,X
49446,2017,Thomas E. Ferguson,X
50434,2017,"John W. Robinson, III",X
13896,2017,Miles D. White,X
46494,2017,Richard A. Gonzalez,X
51159,2017,Fran Horowitz,X
46485,2017,Michael R. Minogue,MikeMinogueABMD
55158,2017,Joey A. Jacobs,X
29665,2017,Kenneth F. Bernstein,X
49265,2017,Salvatore J. Guccione,X
30595,2017,Philip George Heasley,X
46385,2017,Ron Cohen,roncohenshair
51675,2017,Robert A. Kotick,BobbyKotick
53858,2017,Randal Wayne Baker,X
28226,2017,Vernon J. Nagel,X
20967,2017,Shantanu Narayen,X
53525,2017,Lisa W. Wardell,lisawwardell
17227,2017,Thomas R. Stanton,X
54481,2017,Thomas R. Greco,X
39865,2017,Michael S. Burke,mikeAECOM
50059,2017,Charles R. Gordon,X
53691,2017,Erin N. Kane,X
52007,2017,Eileen P. Drake,rakeEileen
46953,2017,Lisa T. Su,LisaSu
34297,2017,Yuval Wasserman,YuvalWasserman
32394,2017,Mark Thomas Bertolini,mtbert
34303,2017,Sean Michael Healey,X
39774,2017,Michael R. McMullen,X
47958,2017,Joel N. Agree,X
49820,2017,Seifollah Ghasemi,X
49100,2017,F. Thomson Leighton,TomLeightonAKAM
44979,2017,Rajat Rai,X
53441,2017,Ronald A. Robinson,X
56161,2017,Stephen S. Trundle,X
