CO_PER_ROL,YEAR,CUSIP,CONAME,EXEC_FNAME,EXEC_LNAME,TWITTER,T_NAME,Search Date,company related,personal related,Note,
54754,2017,88554D20,3D SYSTEMS CORP,Vyomesh,Joshi,X,X,,,,,
34129,2017,88579Y10,3M CO,Inge,Thulin,X,X,,,,,
37514,2017,128210,A. H. BELO CORP,James,Moroney,https://twitter.com/jmoroney_jim?lang=en,jmoroney_jim,,,,,
38455,2017,36020,AAON INC,Norman,Asbjornson,X,X,,,,,
50434,2017,253530,AARON'S INC,John,Robinson,X,X,,,,,
13896,2017,282410,ABBOTT LABORATORIES,Miles,White,X,X,,,,,
46494,2017,00287Y10,ABBVIE INC,Richard,Gonzalez,X,X,,,,,
51159,2017,289620,ABERCROMBIE & FITCH -CL A,Fran,Horowitz,X,X,,,,,
46485,2017,365410,ABIOMED INC,Michael,Minogue,https://twitter.com/mikeminogueabmd?lang=en,MikeMinogueABMD,,,,,
51946,2017,95710,ABM INDUSTRIES INC,Scott,Salmirs,X,X,,,,,
55158,2017,00404A10,ACADIA HEALTHCARE CO INC,Joey,Jacobs,X,X,,,,,
29665,2017,423910,ACADIA REALTY TRUST,Kenneth,Bernstein,X,X,,,,,
44905,2017,G1151C10,ACCENTURE PLC,Pierre,Nanterme,https://twitter.com/pnanterme?lang=en,PNanterme,,,,,
49265,2017,444610,ACETO CORP,Salvatore,Guccione,X,X,,,,,
30595,2017,449810,ACI WORLDWIDE INC,Philip,Heasley,X,X,,,,,
46385,2017,00484M10,ACORDA THERAPEUTICS INC,Ron,Cohen,https://twitter.com/roncohenshair?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,roncohenshair,,,,,
51675,2017,00507V10,ACTIVISION BLIZZARD INC,Robert,Kotick,https://twitter.com/bobbykotick?lang=en,BobbyKotick,,,,,
53858,2017,00508X20,ACTUANT CORP -CL A,Randal,Baker,X,X,,,,,
28226,2017,00508Y10,ACUITY BRANDS INC,Vernon,Nagel,X,X,,,,,
20967,2017,00724F10,ADOBE SYSTEMS INC,Shantanu,Narayen,X,X,,,,,
53525,2017,00737L10,ADTALEM GLOBAL EDUCATION INC,Lisa,Wardell,https://twitter.com/lisawwardell?lang=en,lisawwardell,,,,,
17227,2017,00738A10,ADTRAN INC,Thomas,Stanton,X,X,,,,,
54481,2017,00751Y10,ADVANCE AUTO PARTS INC,Thomas,Greco,X,X,,,,,
