CO_PER_ROL,EXEC_FULLNAME,YEAR,T_NAME
45435,Abraham N. Reichental,2015,AviReichental
39584,Ahmad R. Chatila,2014,AhmadRChatila
31477,Angel R. Martinez,2015,AngelSB55
38281,Anthony Aquila,2015,TonyAquila8020
34056,Bahram Akradi,2014,bahramakradi
50309,Cheryl A. Bachelder,2016,CABachelder
45090,Christopher William Eccleshare,2016,weccleshare
52443,"Clifford B. Bleustein, M.D., MBA",2016,CliffBleustein
48893,Craig T. Bouchard,2016,ctbouchard
51068,Daniel A. Ninivaggi,2015,danninivaggi
26490,Daniel M. Hamburger,2016,DanielHamburger
38862,Darren J. Olagues,2016,DarrenOlagues
5623,David P. Storch,2016,Storchy1
29792,David A. Wentz,2015,Dave_Wentz
14318,David C. Novak,2014,DavidNovakOGO
39792,David W. Crane,2015,DCCleanEnergy
29368,"David Peter F. Hess, Jr.",2014,hess_peter
16722,Dawne S. Hickton,2014,deshickton
39765,Donald E. Brown,2015,DonBrownIndy
51505,Gail F. Goodman,2014,Gail_Goodman
24137,Gary D. Burnison,2016,gary_burnison
49667,George Kurian,2016,NetAppCEO
56144,Gordon A. Wilson,2016,GordonWTravel
30259,Gracia Catherine Martore,2016,gramart
51015,Graham M. Weston,2014,gweston
32582,Gregory Lorne Ebel,2016,gregebel
31903,Gregory David Wasson,2014,GregWasson3
36538,Gregory W. Cappelli,2016,gregwcappelli
12655,"H. Lawrence Culp, Jr.",2014,larryculpjr
50335,Howard C. Root,2015,RootHoward
37582,J. Edward Coleman,2014,colemaned
46595,James F. Brear,2014,jbrear
26109,James Shane Metcalf,2016,JimMetcalf_USG
46407,James L. Gallogly,2014,OU14Pres
15342,James J. Truchard,2016,JamesTruchard
38124,James M. Whitehurst,2016,JWhitehurst
36012,Jeffery R. Gardner,2014,jefferyrgardner
28263,Jeffrey M. Ettinger,2016,JeffreyEttinger
44693,Jeffrey Nacey Maggioncalda,2014,jeffmagg
46622,"John Aurelius Addison, Jr.",2014,JohnAddisonGA
44298,"John Peter Calamos, Sr.",2015,JohnPCalamosSr
48161,John Philpin,2014,fractals
30734,"John J. Donahoe, II",2015,Donahoe_John
2542,John T. Chambers,2015,JohnTChambers
49473,Joseph A. Ripp,2016,JoeRipp1
50278,Joseph F. Eazor,2016,joe_eazor
46803,Joseph F. Woody,2015,JoeWoodyCEO
40026,Joseph E. Kiani,2016,JoeKiani
31597,"Keith Rupert Murdoch, AC",2014,rupertmurdoch
46273,Kevin B. Thompson,2014,KThompsonSWI
47560,Kimberly S. Lubel,2016,CornerStoreKim
