name,id_str,CO_PER_ROL,YEAR,EXEC_FULLNAME,followers_count,friends_count,lang,account_created
AviReichental,'458517173,45435,2015,Abraham N. Reichental,2911,1194,en,2012-01-08 17:12:17
AhmadRChatila,'3145493639,39584,2014,Ahmad R. Chatila,1419,50,en,2015-04-07 21:03:13
AngelSB55,'218752472,31477,2015,Angel R. Martinez,67,50,en,2010-11-23 05:07:03
TonyAquila8020,'3317781383,38281,2015,Anthony Aquila,14538,163,et,2015-06-10 19:12:09
CABachelder,'804737400,50309,2016,Cheryl A. Bachelder,3385,598,en,2012-09-05 14:45:34
weccleshare,'77786086,45090,2016,Christopher William Eccleshare,608,291,en,2009-09-27 17:33:50
CliffBleustein,'2422580502,52443,2016,"Clifford B. Bleustein, M.D., MBA",220,117,en,2014-04-01 19:34:29
ctbouchard,'2280778176,48893,2016,Craig T. Bouchard,232,21,en,2014-01-07 15:40:52
danninivaggi,'2846215479,51068,2015,Daniel A. Ninivaggi,2261,253,en,2014-10-27 04:18:27
DanielHamburger,'891051931950620673,26490,2016,Daniel M. Hamburger,27,1,en,2017-07-28 21:45:10
DarrenOlagues,'834795192712622080,38862,2016,Darren J. Olagues,8,70,en,2017-02-23 16:00:58
Storchy1,'1606251558,5623,2016,David P. Storch,519,429,en,2013-07-19 16:21:54
Dave_Wentz,'43037549,29792,2015,David A. Wentz,9493,29,en,2009-05-28 03:26:40
DavidNovakOGO,'737989529827704832,14318,2014,David C. Novak,14474,1542,en,2016-06-01 12:49:49
DCCleanEnergy,'4793938642,39792,2015,David W. Crane,1454,54,en,2016-01-13 11:59:52
hess_peter,'382320511,29368,2014,"David Peter F. Hess, Jr.",1049,516,en,2011-09-29 21:28:47
deshickton,'1006190022,16722,2014,Dawne S. Hickton,58,47,en,2012-12-12 12:07:15
DonBrownIndy,'1235425207,39765,2015,Donald E. Brown,1532,22,en,2013-03-02 17:03:31
Gail_Goodman,'16367208,51505,2014,Gail F. Goodman,9217,3862,en,2008-09-19 18:25:28
gary_burnison,'581341103,24137,2016,Gary D. Burnison,743,55,en,2012-05-15 23:32:42
GordonWTravel,'925699078779998208,56144,2016,Gordon A. Wilson,404,47,en,2017-11-01 12:20:33
gweston,'14155407,51015,2014,Graham M. Weston,5255,563,en,2008-03-16 00:39:26
gregwcappelli,'3002555051,36538,2016,Gregory W. Cappelli,51,37,en,2015-01-28 03:03:20
RootHoward,'3303675224,50335,2015,Howard C. Root,1045,155,en,2015-08-01 21:31:39
colemaned,'42241370,37582,2014,J. Edward Coleman,514,87,en,2009-05-24 16:55:56
jbrear,'247990726,46595,2014,James F. Brear,390,345,en,2011-02-06 01:03:45
JimMetcalf_USG,'1921697035,26109,2016,James Shane Metcalf,145,58,en,2013-09-30 23:57:50
OU14Pres,'978249660983889921,46407,2014,James L. Gallogly,5989,4,en,2018-03-26 12:37:48
JamesTruchard,'731993156372193280,15342,2016,James J. Truchard,15,89,en,2016-05-15 23:42:23
JWhitehurst,'19599604,38124,2016,James M. Whitehurst,19542,92,en,2009-01-27 16:23:28
jefferyrgardner,'236655727,36012,2014,Jeffery R. Gardner,287,15,en,2011-01-11 02:33:31
JeffreyEttinger,'2190511176,28263,2016,Jeffrey M. Ettinger,106,8,en,2013-11-12 15:03:45
JohnAddisonGA,'3110482490,46622,2014,"John Aurelius Addison, Jr.",8336,2236,en,2015-03-27 16:51:10
JohnPCalamosSr,'987104891826040832,44298,2015,"John Peter Calamos, Sr.",54,147,en,2018-04-19 23:05:20
Donahoe_John,'115882166,30734,2015,"John J. Donahoe, II",14803,706,en,2010-02-20 08:50:07
JohnTChambers,'844614157320142848,2542,2015,John T. Chambers,12612,87,en,2017-03-22 18:18:02
JoeRipp1,'2244520622,49473,2016,Joseph A. Ripp,562,96,en,2013-12-13 21:23:26
joe_eazor,'2159078844,50278,2016,Joseph F. Eazor,496,63,en,2013-10-27 15:15:54
JoeKiani,'1192231830,40026,2016,Joseph E. Kiani,7407,85,en,2013-02-18 06:28:52
rupertmurdoch,'451586190,31597,2014,"Keith Rupert Murdoch, AC",734283,129,en,2011-12-31 18:29:24
KThompsonSWI,'1075181153638907904,46273,2014,Kevin B. Thompson,23,1,en,2018-12-19 00:08:57
CornerStoreKim,'3242637942,47560,2016,Kimberly S. Lubel,667,51,en,2015-06-11 22:14:00
LeonardRiggio,'1219815175,11246,2016,Leonard Riggio,122,167,en,2013-02-25 21:18:12
loudinardo,'15487372,46165,2015,Louis DiNardo,17,24,en,2008-07-18 22:39:42
louis_chenevert,'893593059685957633,21227,2014,Louis R. Chenevert,306,23,en,2017-08-04 22:02:42
MegWhitman,'20733756,45166,2015,Margaret Cushing Whitman,213113,302,en,2009-02-13 00:03:24
MarinerKemper,'962506885,35574,2016,Mariner Kemper,791,98,en,2012-11-21 14:30:22
marissamayer,'17503180,47607,2016,Marissa A. Mayer,1647088,349,en,2008-11-20 03:15:04
Fake_Dank,'1018193172411834368,19977,2016,Mark D. Dankberg,3,0,en,2018-07-14 17:59:04
markbtempleton,'129803061,15928,2015,Mark B. Templeton,7086,219,en,2010-04-05 12:59:10
MarkVHurd,'414399556,44443,2015,Mark Vincent Hurd,165564,69,en,2011-11-17 00:44:58
maryjunck,'232196147,17865,2015,Mary E. Junck,128,66,und,2010-12-30 14:05:44
DSWMike_CEO,'556274722,54822,2015,Michael R. MacDonald,200,3,en,2012-04-17 20:50:52
boustridge,'503233766,51131,2015,Michael J. Boustridge,105,32,en,2012-02-25 16:33:19
Gavisaacs,'282780769,51084,2016,Michael Gavin Isaacs,340,57,en,2011-04-15 22:34:34
HusebyMichael,'2932155603,46223,2014,Michael P. Huseby,11,100,en,2014-12-19 15:52:15
MillardDrexler,'871947244232159232,36093,2016,Millard S. Drexler,6,14,en,2017-06-06 04:29:57
mindygrossman,'1513126424,38626,2016,Mindy F. Grossman,2382,68,en,2013-06-13 11:26:11
mitchrudin,'1898072125,53263,2016,Mitchell E. Rudin,140,159,en,2013-09-23 18:21:17
montyfmoran,'1061394141400236034,36061,2015,Montgomery F. Moran,5,6,en,2018-11-10 23:04:17
muhtarkent,'719804115,32193,2016,Muhtar Kent,37,27,tr,2013-10-17 22:32:10
MurrayKessler,'339580494,44007,2014,Murray S. Kessler,380,20,en,2011-07-21 10:00:01
ullmanme,'126896821,29215,2015,"Myron E. Ullman, III",144,18,en,2010-03-27 10:11:57
NarenGursahaney,'948978631,46347,2015,Naren K. Gursahaney,460,180,en,2012-11-15 03:23:08
NoraDenzel,'3226651951,53301,2015,Nora M. Denzel,1347,38,en,2015-05-25 23:10:57
MedtronicCEO,'316702759,46174,2016,Omar S. Ishrak,22246,162,en,2011-06-13 20:58:24
PetePetitGroup,'1259705654,51487,2016,Parker H. Petit,115,2,en,2013-03-11 15:18:02
QuestFusion,'2997491528,44673,2014,Patrick C. Henry,31403,24402,en,2015-01-26 21:17:56
PaulJDiaz1,'589558319,28958,2014,Paul J. Diaz,0,0,en,2012-05-25 00:54:47
PaulDykstra14,'284362948,36484,2014,Paul B. Dykstra,18,49,en,2011-04-19 04:28:35
Paulmarciano9,'1089407071404068864,36077,2014,Paul Marciano,178,1,en,2019-01-27 06:17:40
PaulHooperCEO,'401091070,54724,2016,Paul A. Hooper,93,79,en,2011-10-30 01:36:27
PaulBisaro,'1668464336,35646,2014,Paul M. Bisaro,60,59,und,2013-08-13 18:20:39
PeterLeav,'806495467630657541,49366,2015,Peter A. Leav,352,13,en,2016-12-07 13:47:58
PAltabef,'553985573,47825,2014,Peter A. Altabef,81,30,en,2012-04-15 01:56:06
RameshOoyala,'4709406133,39275,2014,Ramesh Srinivasan,57,38,en,2016-01-04 15:55:30
RSDearth,'24528597,46796,2016,Randall S. Dearth,98,102,en,2009-03-15 14:18:37
rdstilley,'36673595,50218,2016,Randall D. Stilley,464,179,en,2009-04-30 14:25:36
marceloclaure,'92639420,51340,2016,Raul Marcelo Claure,229467,500,en,2009-11-25 23:37:43
Ray_Zinn_,'3189096823,15945,2014,Raymond D. Zinn,2600,3840,en,2015-05-08 18:51:57
ReeceKurtenbach,'755083199718367232,36200,2016,Reece A. Kurtenbach,28,118,en,2016-07-18 16:53:58
tillerson_w,'873320821946806274,27551,2016,Rex W. Tillerson,2492,12,en,2017-06-09 23:28:04
RickBelluzzo,'1071514704,53704,2016,Richard E. Belluzzo,81,112,en,2013-01-08 17:41:16
RichDugasPulte,'62535976,25169,2016,"Richard J. Dugas, Jr.",6,20,en,2009-08-03 15:11:04
dickc,'6385432,60373,2014,Richard Costolo,1601591,727,en,2007-05-28 13:26:41
ArtsCEOLynch,'43398433,45864,2014,Robert M. Lynch,544,22,en,2009-05-29 20:06:27
NotBobDutkowsky,'2782529778,33154,2016,Robert M. Dutkowsky,66,259,en,2014-08-31 16:27:39
GreifeldRobert,'4141670119,35975,2016,Robert Greifeld,12,13,en,2015-11-06 03:00:17
bosco2998,'270334570,48527,2014,Roman Suarez Blanco,13,6,es,2011-03-22 12:36:17
shaich,'55751080,8074,2016,Ronald M. Shaich,2321,747,en,2009-07-11 03:53:15
dpassmaniii,'21573459,42291,2015,"S. David Passman, III",55,74,en,2009-02-22 15:54:51
