week,times
2018/4/29,70
2018/5/6,69
2018/5/13,74
2018/5/20,71
2018/5/27,77
2018/6/3,63
2018/6/10,56
2018/6/17,55
2018/6/24,59
2018/7/1,64
2018/7/8,75
2018/7/15,72
2018/7/22,68
2018/7/29,74
2018/8/5,67
2018/8/12,56
2018/8/19,71
2018/8/26,68
2018/9/2,63
2018/9/9,74
2018/9/16,84
2018/9/23,80
2018/9/30,60
2018/10/7,62
2018/10/14,64
2018/10/21,67
2018/10/28,54
2018/11/4,99
2018/11/11,100
2018/11/18,69
2018/11/25,60
2018/12/2,61
2018/12/9,77
2018/12/16,72
2018/12/23,63
2018/12/30,71
2019/1/6,87
2019/1/13,81
2019/1/20,81
2019/1/27,94
2019/2/3,86
2019/2/10,73
2019/2/17,69
2019/2/24,77
2019/3/3,62
2019/3/10,61
2019/3/17,61
2019/3/24,61
2019/3/31,61
2019/4/7,77
2019/4/14,70
